state,year,state_tax_per_pack,price_per_pack,pack_sales_per_capita
WV,1991,0.17,1.582,100.1
MA,2006,1.51,5.001,44.1
DC,1992,0.17,2.121,82.6
NC,1993,0.05,1.359,129.7
AZ,1993,0.18,1.621,80.3
UT,1990,0.23,1.671,53.4
PA,1976,0.18,0.533,118.8
OR,2010,1.18,5.411,44.7
MD,1980,0.1,0.628,131.5
NC,1989,0.02,1.164,139.3
IN,1999,0.155,2.602,133.3
NC,2010,0.45,4.591,61.5
IA,1989,0.31,1.496,94.4
MI,1990,0.25,1.449,114.4
OH,2016,1.6,6.227,50.8
AZ,2019,2,7.513,20.7
AR,1981,0.1775,0.721,128.7
CO,2014,0.84,5.431,36.7
MA,2001,0.76,3.994,54.8
VT,1987,0.17,1.237,128.3
MI,2013,2,6.562,45.4
WV,1976,0.12,0.489,129.7
RI,1988,0.25,1.348,138
KS,2004,0.79,3.748,56.3
MN,1982,0.18,0.873,119.4
DC,2018,2.94,9.863,12.9
LA,1993,0.2,1.574,106.2
MD,1996,0.36,1.907,75
UT,1977,0.08,0.495,78.9
DE,1989,0.14,1.4,131.7
NE,1971,0.13,0.411,108.6
KS,1972,0.11,0.393,111
KY,1973,0.03,0.315,201.9
NC,1985,0.02,0.837,156.3
CA,1988,0.1,1.264,90.1
DC,1999,0.65,3.24,50.8
VA,1993,0.025,1.565,105.4
AZ,2008,2,5.466,31.8
DC,2003,1,4.104,45.6
FL,2002,0.339,3.391,77.9
GA,1994,0.12,1.538,107.8
PA,1993,0.31,1.581,94.7
NH,2002,0.52,3.577,131.6
ID,1998,0.28,2.107,78.9
WV,1978,0.17,0.624,131.6
NV,1971,0.1,0.406,190.5
TN,2002,0.13,3.269,103.4
VT,1988,0.17,1.297,128.7
MS,2018,0.68,5.355,56.3
MI,2012,2,6.386,46.7
ID,1980,0.091,0.592,115.2
FL,1994,0.339,1.733,93.6
VT,1982,0.12,0.77,162.3
NY,2004,1.5,5.485,33.7
OK,1992,0.23,1.824,86.3
ID,2019,0.57,5.722,35.8
ME,1981,0.16,0.697,138.9
NV,1990,0.2,1.863,137.3
WI,1984,0.25,1.068,105.6
SD,2005,0.53,3.539,68.7
NY,1998,0.56,2.536,64.9
WV,1998,0.17,1.924,114.6
KS,1987,0.24,1.239,105.2
ND,1971,0.11,0.389,98.5
AR,1978,0.1775,0.584,127.3
LA,2017,1.08,5.84,57.6
HI,1975,0.1,0.466,92.4
HI,2001,1,4.153,42.8
NH,1982,0.12,0.747,239.8
ND,2018,0.44,5.235,62.8
OR,2007,1.18,4.288,55.5
OK,1989,0.23,1.461,97.5
KY,2013,0.6,4.759,93.5
KY,1986,0.03,0.905,179.8
MA,2010,2.51,7.441,33.7
WY,1983,0.08,0.817,141.2
NV,2006,0.8,3.78,68.5
CT,1973,0.21,0.525,109.3
SC,2018,0.57,5.322,53.1
VT,1971,0.12,0.4,124.4
CT,1991,0.4,1.935,86.7
LA,2002,0.24,3.332,97
NC,1977,0.02,0.418,217
UT,1971,0.08,0.372,67.7
IN,2001,0.155,3.02,121.4
SD,1970,0.12,0.385,92.7
NE,1997,0.34,1.946,85.5
ID,1972,0.07,0.363,126.1
ID,2011,0.57,4.845,45.5
AZ,1999,0.58,3.177,61.7
MN,1972,0.18,0.456,96.8
VT,2008,1.79,5.579,51.6
DC,2006,1,4.235,42.2
NH,1993,0.25,1.578,148.9
IN,2019,0.995,5.887,56.5
NM,2000,0.21,2.916,53.8
AZ,1985,0.15,1.067,107.1
MI,2005,2,5.1,57.9
NV,2014,0.8,5.326,41.6
IN,1988,0.155,1.19,134
NH,1972,0.11,0.369,296.2
ND,2002,0.44,3.604,68.5
IN,2014,0.995,5.39,63.6
AZ,1996,0.58,2.22,71.4
NC,2005,0.05,3.29,93.8
MD,2017,2,6.873,29.2
ID,2008,0.57,3.853,55.9
AL,1977,0.12,0.551,117.1
CT,1975,0.21,0.576,110.2
MS,2010,0.68,4.811,70.3
